place_id,type,reviews,rating
ChIJzwPdNlmxlUcRCtuMREmQD7Q,Appliance store,0.0,0.0
ChIJ5R3XF4yxlUcRXga_K0a-nUM,Appliance store,9.0,4.4
ChIJlwER-d-zlUcR6IzMbIzkmtE,Appliance store,65.0,4.2
ChIJsf8DdmSxlUcRgTQK_RL7lQg,Appliance store,661.0,3.8
ChIJKYlZ-tWzlUcRsNrLdWFr7r8,Appliance store,175.0,4.5
ChIJfTbmw1-xlUcRy8wopc5aPaI,Appliance store,475.0,3.8
ChIJh_5sxf6zlUcRankyJL2BRJQ,Appliance store,0.0,0.0
ChIJH-0yA-CzlUcRumJGsVpHH9k,Appliance store,1621.0,4.1
ChIJH9eFjYuzlUcRELVD4c1a_fc,Appliance store,9.0,4.8
ChIJe6_QGHyxlUcRlhKcqrKa6pM,Appliance store,0.0,0.0
ChIJpzXE7w-xlUcReXrfDsD5uRw,Appliance store,2.0,5.0
ChIJ0VNMcNazlUcR4xRgxixdt_4,Appliance store,547.0,4.3
ChIJFSg6sh6ylUcRK82G3AV-HtE,Appliance store,437.0,3.6
ChIJWybdOQWylUcR6N6rDXLFj7k,Appliance store,10.0,4.1
ChIJTX5OHnyxlUcR2b09_Lyi0mo,Appliance store,13.0,4.7
ChIJgWXArxqylUcRV-BjOxNB2tI,Appliance store,12.0,4.7
ChIJ78eLl2GxlUcRlgp6Nnz8L1k,Appliance store,229.0,3.8
ChIJh0SNluOzlUcRtPu2dsSot-w,Appliance store,2573.0,3.8
ChIJVVYBRUKxlUcRRpgOZNgbA7s,Appliance store,907.0,4.1
ChIJz9ujomGxlUcROVDgppbXfXY,Appliance store,26.0,4.5
ChIJ-dYDPWexlUcRuiW3ht-DXPc,Appliance store,23.0,4.8
ChIJcYy1e_ezlUcRoJFrhcw_YKs,Appliance store,3.0,5.0
ChIJIyZeoo6xlUcRCLaMP8N-MIc,Appliance store,28.0,4.4
ChIJVVYBRUKxlUcR1duiWpoXVCc,Appliance store,663.0,4.2
ChIJO_jmlSixlUcRTlo_Omg_xIM,Appliance store,7.0,4.7
ChIJ_aTO-1qxlUcRqqKp7u8Mkzs,Appliance store,506.0,4.5
ChIJ10gX1n2xlUcRAr6rpR5JoyQ,Appliance store,748.0,4.3
ChIJHcP_Jf-zlUcRaGXv2c0bMBA,Appliance store,51.0,4.6
ChIJHSJBIwSxlUcRo_mlnL3jmPk,Appliance store,51.0,4.2
ChIJedgJHsCxlUcRAd7XPiQY7jA,Appliance store,41.0,4.7
ChIJ4bGiOE-xlUcRmRYM--XAECc,Appliance store,24.0,4.9
ChIJ-WHeMV-xlUcRzNv0EFJjA0w,Appliance store,11.0,5.0
ChIJzf6f3RaylUcR1tzGE0qUt68,Appliance store,535.0,4.2
ChIJlYiTPg-ylUcRU1fSu8xCUY0,Appliance store,15.0,4.5
ChIJuQ8xraSzlUcR7pJpu3rj4AE,Appliance store,874.0,4.3
ChIJT6Sw4FixlUcRNgAEA6ukMBU,Appliance store,136.0,4.8
ChIJY7o1y1mxlUcRdXBKCyN4t5s,Appliance store,390.0,4.0
ChIJRYKsWzexlUcRSHe2TxQ0U3g,Appliance store,163.0,4.4
ChIJ6TKDZU6xlUcRP5VRO1kI3EI,Appliance store,484.0,4.1
ChIJ8dGVY_ezlUcRCSEHnPdjuiw,Appliance store,14.0,4.4
ChIJ05RrIwCxlUcRZwumdNXZg8E,Appliance store,23.0,4.5
ChIJVwyBXIOxlUcRN276KPvoql8,Appliance store,1.0,5.0
ChIJeXgimI-xlUcRoDdqttIJboo,Appliance store,4.0,5.0
ChIJReItQXyxlUcRe9kvkjKfVeA,Appliance store,17.0,3.8
ChIJI4-HjQSylUcRv6MqnOSoJEw,Appliance store,16.0,4.6
ChIJX6Wpg462lUcRaaQq9kCO8fk,Appliance store,50.0,4.6
ChIJTygOI1uxlUcRDiIvgh2WeWE,Appliance store,11.0,4.2
ChIJYb0HIRGylUcRVVbQETrWExE,Dentist,16.0,4.8
ChIJt2u8mF-xlUcR0YLsTjgGXtM,Dentist,28.0,3.6
ChIJGZhq21yxlUcRm1a6MlSKFlc,Dentist,50.0,4.0
ChIJj72lgV5-U6ERRab7Naz77qw,Dentist,0.0,0.0
ChIJb7V9MrOzlUcRHMcQCIa1fkA,Dentist,0.0,0.0
ChIJJc8STCqylUcRBO7bUpnAZcg,Dentist,52.0,4.5
ChIJe_byE2ixlUcRNuPPKViiEj4,Dentist,1.0,1.0
ChIJYQEcVwqylUcR6wcIUsc-BBM,Dentist,42.0,5.0
ChIJoxUjieN-C0ER9e-8ThMeJtE,Dentist,0.0,0.0
ChIJSclcIluxlUcRpn5trngJRZg,Dentist,61.0,4.3
ChIJRQ9FFnyxlUcRhLyBd4eTiUc,Dentist,0.0,0.0
ChIJMQoCEXyxlUcRAL8_X1axi1U,Dentist,2.0,4.5
ChIJg5VKK2OxlUcRY_QJr6bp6DM,Dentist,21.0,4.3
