place_id,type,reviews,rating
ChIJFyC_WgK3lUcR-aJeioHQi0k,Doctor,69.0,4.3
ChIJe_byE2ixlUcReIZGAYCECOI,Doctor,1.0,4.0
ChIJq6omyQO3lUcRcsKXwLp4l2Y,Doctor,20.0,4.8
ChIJac3SkVa2lUcRJnV_n8suXio,Doctor,54.0,4.3
ChIJl5pADwO3lUcRoHTUgZ_lbWA,Doctor,52.0,4.5
ChIJl5pADwO3lUcRNJVfsLtX-do,Doctor,12.0,4.3
ChIJa9HUzQO3lUcRjvMtDjvjz1k,Doctor,45.0,3.6
ChIJA8wxGeC2lUcRaXp2Nsr-IUE,Doctor,1.0,5.0
ChIJDYApWrC3lUcR6nMVgfm14AA,Doctor,3.0,5.0
ChIJ_0NI6QO3lUcRQuMfbWFR-0o,Doctor,35.0,4.0
ChIJGbCW9Te3lUcRQ_mg3HD5Do4,Doctor,33.0,3.8
ChIJv_qjdwG3lUcRSElBlKj2eBs,Doctor,75.0,3.4
ChIJ4Q4Stgu3lUcRq4LkoogU2pM,Doctor,,
ChIJ3ZO6fQG3lUcROlE-bHYuQs4,Doctor,4.0,4.8
ChIJMaKoUAK3lUcRXzUcvTsAUxY,Doctor,21.0,4.4
ChIJfV7Q9gO3lUcRV961gJAok3E,Doctor,42.0,4.5
ChIJ-whCTRy0lUcRcFPXAeFxy6A,Doctor,9.0,4.6
ChIJ_0NI6QO3lUcRToW7pvA2qgg,Doctor,12.0,4.1
ChIJIwq_SR63lUcRv2Kc_hi57xg,Metal construction company,1.0,5.0
ChIJlSKkNPuzlUcREWYR4wmo5YY,Metal construction company,12.0,4.3
ChIJu33q4eW3lUcRg89MTTixQEE,Metal construction company,13.0,5.0
ChIJJyoyO0pE2WQROQ5HBk_fM3A,Metal construction company,1.0,5.0
ChIJpYMw3AS3lUcR7kTzFDmcVgI,General contractor,37.0,4.6
ChIJd1318Qa3lUcRZaGji4cW6jI,General contractor,6.0,4.8
ChIJp1OdkqO3lUcRyAJQnEjInpg,General contractor,15.0,5.0
ChIJZZuQ4x23lUcRVuVI_toItEA,General contractor,4.0,4.3
ChIJhfe1EKK2lUcRlVtO4o9977s,General contractor,8.0,4.3
ChIJofWniFK2lUcRghYpwpYUmxk,General contractor,17.0,4.8
ChIJjVIm7Qe3lUcRrW4Vq6MPt_0,General contractor,11.0,4.3
ChIJY7hQVhG3lUcRgOhjkhfKuYk,General contractor,141.0,4.5
ChIJAwA8dAO3lUcRytVHbu6ecAQ,General contractor,18.0,4.4
ChIJW0VTIA63lUcR3LkM_-Nh-Xo,General contractor,3.0,5.0
ChIJM2XTMaq3lUcRXW-BDoaVRmk,General contractor,4.0,4.0
ChIJE60TMQK3lUcRwDV16BwxFvc,General contractor,4.0,5.0
ChIJ5yJqm9-2lUcRc4aA8XgOAGo,General contractor,5.0,3.6
ChIJRW_WGRy3lUcRkEUIzfYdgmE,General contractor,3.0,5.0
ChIJB09Nmd-2lUcRx1z4_tC1GYg,General contractor,26.0,4.4
ChIJwRaeZcq3lUcR5zDOlZj3oGo,General contractor,18.0,4.9
ChIJTY8Hrx-3lUcRrz3A1vZuj7U,General contractor,,
ChIJW1d3buK2lUcRGlmrNHL-Qkc,General contractor,2.0,3.0
ChIJfxTRIeK2lUcRwTQJ9kjQiCI,General contractor,19.0,4.4
ChIJMTVkBQe3lUcRmXT5j6uHKj4,General contractor,2.0,5.0
ChIJsUwJWCC3lUcRkiCgVmQM-_Q,General contractor,2.0,5.0
ChIJUc6Fv6W2lUcRxmIPEd2sUzU,General contractor,2.0,1.0
ChIJEc29Gge3lUcRP2RaDYPy2-g,General contractor,7.0,4.4
ChIJ2YnFVAC3lUcRNI12JWFRabA,General contractor,,
ChIJOYQtn9q2lUcRgLvSR5F1ePw,General contractor,1.0,4.0
ChIJdWtHw-C2lUcRKzpNj2iro_U,General contractor,3.0,2.3
ChIJG1faYB63lUcRA3-3giH6uSU,General contractor,,
ChIJEw2kZlG2lUcR1beNZmmpxVg,General contractor,1.0,5.0
ChIJfWPZDee2lUcRrEUrLW-vHn4,General contractor,15.0,5.0
ChIJOegRI-K2lUcRMgEzEH3q1h0,General contractor,1.0,5.0
ChIJNa8Q_du2lUcRCpWvNMLAHyQ,General contractor,7.0,4.9
