         4208531 function calls (4200528 primitive calls) in 515.262 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      646    0.006    0.000    0.017    0.000 message.py:487(<listcomp>)
     1292    0.002    0.000    0.017    0.000 response.py:735(_error_catcher)
      646    0.004    0.000    0.017    0.000 connection.py:556(__init__)
      645    0.003    0.000    0.017    0.000 polygon.py:62(__new__)
     1292    0.005    0.000    0.016    0.000 {method 'close' of '_io.BufferedReader' objects}
      646    0.009    0.000    0.016    0.000 client.py:213(_read_headers)
     1938    0.008    0.000    0.016    0.000 poolmanager.py:199(__init__)
     1292    0.002    0.000    0.016    0.000 ssl.py:1235(send)
      646    0.003    0.000    0.016    0.000 adapters.py:546(request_url)
      646    0.003    0.000    0.016    0.000 models.py:947(json)
     5814    0.007    0.000    0.016    0.000 parse.py:164(hostname)
      646    0.006    0.000    0.015    0.000 response.py:40(assert_header_parsing)
      646    0.003    0.000    0.015    0.000 __init__.py:183(dumps)
      646    0.008    0.000    0.015    0.000 feedparser.py:137(__init__)
   212544    0.015    0.000    0.015    0.000 {method 'upper' of 'str' objects}
      646    0.006    0.000    0.015    0.000 feedparser.py:100(push)
    11628    0.007    0.000    0.015    0.000 _policybase.py:281(_sanitize_header)
      646    0.001    0.000    0.015    0.000 adapters.py:592(proxy_headers)
      646    0.002    0.000    0.015    0.000 response.py:635(release_conn)
     1292    0.008    0.000    0.015    0.000 ssl.py:732(verify_mode)
     1292    0.004    0.000    0.014    0.000 cookiejar.py:1599(make_cookies)
     1292    0.014    0.000    0.014    0.000 {method 'write' of '_ssl._SSLSocket' objects}
      646    0.012    0.000    0.014    0.000 poolmanager.py:95(_default_key_normalizer)
     1292    0.004    0.000    0.014    0.000 utils.py:1018(get_auth_from_url)
     1938    0.014    0.000    0.014    0.000 {built-in method winreg.QueryValueEx}
     1292    0.003    0.000    0.014    0.000 adapters.py:536(close)
     5814    0.005    0.000    0.013    0.000 connection.py:400(<genexpr>)
     1292    0.003    0.000    0.013    0.000 adapters.py:240(init_poolmanager)
     3876    0.007    0.000    0.013    0.000 enum.py:688(__call__)
      646    0.002    0.000    0.013    0.000 request.py:2690(getproxies_registry)
    10336    0.006    0.000    0.013    0.000 feedparser.py:127(__next__)
108631/107894    0.012    0.000    0.013    0.000 {built-in method builtins.len}
    14872    0.004    0.000    0.013    0.000 <frozen abc>:117(__instancecheck__)
      646    0.002    0.000    0.013    0.000 connectionpool.py:296(_put_conn)
      646    0.003    0.000    0.013    0.000 connection.py:134(__init__)
      646    0.002    0.000    0.013    0.000 connectionpool.py:81(__init__)
     1293    0.006    0.000    0.012    0.000 <frozen ntpath>:319(expanduser)
    14212    0.006    0.000    0.012    0.000 threading.py:366(notify)
     1938    0.001    0.000    0.012    0.000 message.py:616(get_content_maintype)
     1292    0.007    0.000    0.012    0.000 geodesic.py:323(_A3coeff)
      646    0.004    0.000    0.012    0.000 queue.py:34(__init__)
     1292    0.012    0.000    0.012    0.000 socket.py:680(__init__)
      646    0.006    0.000    0.012    0.000 ssl.py:566(set_alpn_protocols)
      646    0.002    0.000    0.011    0.000 encoder.py:183(encode)
     4522    0.003    0.000    0.011    0.000 utils.py:1034(check_header_validity)
     1292    0.008    0.000    0.011    0.000 socket.py:769(close)
     1292    0.004    0.000    0.011    0.000 connectionpool.py:348(_get_timeout)
    19380    0.009    0.000    0.011    0.000 structures.py:46(__setitem__)
      646    0.005    0.000    0.011    0.000 cookiejar.py:1356(add_cookie_header)
     1292    0.003    0.000    0.011    0.000 typing.py:1327(__instancecheck__)
     4522    0.011    0.000    0.011    0.000 threading.py:90(RLock)
    16368    0.007    0.000    0.011    0.000 client.py:631(_safe_read)
     2016    0.007    0.000    0.011    0.000 geodesic.py:205(_C1f)
     8398    0.007    0.000    0.011    0.000 _collections.py:302(add)
      646    0.011    0.000    0.011    0.000 3788495987.py:151(<dictcomp>)
      646    0.003    0.000    0.011    0.000 utils.py:900(default_headers)
     3230    0.011    0.000    0.011    0.000 {method 'settimeout' of '_socket.socket' objects}
      646    0.002    0.000    0.010    0.000 ssl.py:503(_encode_hostname)
     1938    0.002    0.000    0.010    0.000 poolmanager.py:267(clear)
      646    0.009    0.000    0.010    0.000 {built-in method _socket.getaddrinfo}
      646    0.002    0.000    0.010    0.000 __init__.py:299(loads)
     2584    0.004    0.000    0.010    0.000 socket.py:99(_intenum_converter)
     2584    0.005    0.000    0.010    0.000 point.py:56(_normalize_coordinates)
      646    0.002    0.000    0.010    0.000 response.py:446(_init_decoder)
      646    0.006    0.000    0.010    0.000 response.py:315(__init__)
    19380    0.008    0.000    0.010    0.000 structures.py:51(__getitem__)
      646    0.001    0.000    0.010    0.000 url.py:351(_encode_target)
    10337    0.009    0.000    0.009    0.000 parse.py:119(_coerce_args)
     2584    0.007    0.000    0.009    0.000 message.py:525(get_all)
     6772    0.009    0.000    0.009    0.000 geodesic.py:122(_SinCosSeries)
     1292    0.003    0.000    0.009    0.000 parse.py:509(urlunparse)
    25194    0.009    0.000    0.009    0.000 structures.py:58(<genexpr>)
      646    0.001    0.000    0.009    0.000 models.py:588(prepare_auth)
     1292    0.004    0.000    0.009    0.000 geomath.py:107(AngDiff)
     1938    0.007    0.000    0.009    0.000 idna.py:145(encode)
      647    0.009    0.000    0.009    0.000 encoder.py:205(iterencode)
      646    0.001    0.000    0.009    0.000 adapters.py:396(build_connection_pool_key_attributes)
     1938    0.003    0.000    0.009    0.000 url.py:326(<listcomp>)
      646    0.002    0.000    0.009    0.000 3788495987.py:253(normalize_coords)
     4522    0.003    0.000    0.009    0.000 <frozen _collections_abc>:778(__contains__)
      646    0.005    0.000    0.009    0.000 client.py:849(__init__)
    14872    0.009    0.000    0.009    0.000 {built-in method _abc._abc_instancecheck}
     9690    0.007    0.000    0.009    0.000 _collections.py:259(__getitem__)
     2584    0.006    0.000    0.009    0.000 geomath.py:117(sincosd)
     1292    0.003    0.000    0.009    0.000 contextlib.py:299(helper)
     9044    0.004    0.000    0.008    0.000 utils.py:1045(_validate_header_part)
      646    0.001    0.000    0.008    0.000 sessions.py:724(<listcomp>)
     1292    0.006    0.000    0.008    0.000 retry.py:202(__init__)
      646    0.003    0.000    0.008    0.000 ssl_.py:473(is_ipaddress)
     3230    0.007    0.000    0.008    0.000 structures.py:57(__iter__)
     3230    0.004    0.000    0.008    0.000 {function HTTPResponse.close at 0x00000262F0E131A0}
     1938    0.006    0.000    0.008    0.000 _collections.py:143(clear)
      646    0.003    0.000    0.008    0.000 utils.py:539(get_encoding_from_headers)
      646    0.003    0.000    0.008    0.000 adapters.py:90(_urllib3_request_context)
    11628    0.008    0.000    0.008    0.000 {method 'search' of 're.Pattern' objects}
      646    0.002    0.000    0.008    0.000 utils.py:660(requote_uri)
      646    0.008    0.000    0.008    0.000 {built-in method today}
     6460    0.006    0.000    0.008    0.000 parse.py:205(_hostinfo)
      646    0.003    0.000    0.008    0.000 decoder.py:332(decode)
     1292    0.005    0.000    0.008    0.000 geomath.py:133(sincosde)
     1292    0.003    0.000    0.008    0.000 typing.py:1602(__subclasscheck__)
      646    0.002    0.000    0.007    0.000 sessions.py:159(resolve_redirects)
     3230    0.004    0.000    0.007    0.000 url.py:100(__new__)
    12274    0.004    0.000    0.007    0.000 utils.py:51(_has_surrogates)
     1292    0.004    0.000    0.007    0.000 timeout.py:188(clone)
      646    0.003    0.000    0.007    0.000 auth.py:25(_basic_auth_str)
     2584    0.006    0.000    0.007    0.000 timeout.py:109(__init__)
    10990    0.005    0.000    0.007    0.000 iostream.py:550(_is_master_process)
    78166    0.007    0.000    0.007    0.000 {method 'decode' of 'bytes' objects}
     1938    0.004    0.000    0.007    0.000 _collections.py:84(__init__)
    16809    0.007    0.000    0.007    0.000 {method 'split' of 'str' objects}
      646    0.003    0.000    0.007    0.000 message.py:243(get_payload)
      646    0.001    0.000    0.007    0.000 response.py:209(_get_decoder)
      646    0.001    0.000    0.007    0.000 connectionpool.py:1149(_normalize_host)
     1292    0.007    0.000    0.007    0.000 client.py:918(_wrap_ipv6)
      646    0.002    0.000    0.007    0.000 socket.py:515(family)
    10336    0.006    0.000    0.007    0.000 feedparser.py:77(readline)
     3230    0.001    0.000    0.007    0.000 3788495987.py:254(<genexpr>)
    14212    0.004    0.000    0.007    0.000 threading.py:286(_is_owned)
